Zip_Code,Total_Population,Median_Income,num_of_fast_food,num_of_mex_restaurants,Labels,Brand,Address,City,State,Probability
2189,15146,58674,97,47,0,,0,0,0,59%
2190,17415,85053,72,34,0,,0,0,0,61%
2191,8028,73948,93,43,0,,0,0,0,60%
2199,1177,82238,35,35,0,,0,0,0,61%
2203,27,-666666666,,,0,,0,0,0,
2210,2609,170152,296,256,1,Chipotle,51 Boston Wharf Rd,Boston,MA,
2215,25023,43403,424,346,1,Chipotle,148 Brookline Ave,Boston,MA,
2301,61320,47724,63,22,1,Chipotle,500 Westgate Dr,Brockton,MA,
2302,33841,63718,184,72,0,,0,0,0,60%
2322,4468,69709,79,28,0,,0,0,0,60%
2324,27434,88640,98,32,0,,0,0,0,61%
2330,11617,73904,61,26,0,,0,0,0,60%
2332,15572,123613,65,30,0,,0,0,0,65%
2333,14301,86568,25,10,0,,0,0,0,61%
2338,7739,77993,114,46,0,,0,0,0,61%
2339,14328,111311,34,16,0,,0,0,0,63%
2341,10560,96389,147,61,0,,0,0,0,63%
2343,10753,67589,83,31,0,,0,0,0,59%
2346,24166,79811,387,164,0,,0,0,0,63%
2347,11292,97990,72,21,0,,0,0,0,62%
2351,16275,91643,53,24,0,,0,0,0,61%
2356,12885,113783,176,79,0,,0,0,0,65%
2357,1178,-666666666,,,0,,0,0,0,
2359,18230,101447,99,45,0,,0,0,0,63%
2360,58500,83746,245,121,0,,0,0,0,62%
2364,13210,89796,62,27,0,,0,0,0,61%
2366,195,-666666666,63,31,0,,0,0,0,
2367,2912,87438,74,30,0,,0,0,0,61%
2368,33980,70163,83,32,1,Chipotle,51 Warren St,Randolph,MA,
2370,17849,77573,200,86,0,,0,0,0,61%
2375,9938,94457,164,71,0,,0,0,0,63%
2379,7117,85368,45,17,0,,0,0,0,61%
2382,14864,79705,30,12,0,,0,0,0,60%
2420,14579,168065,114,67,0,,0,0,0,70%
2421,18760,158554,119,69,0,,0,0,0,69%
2445,20774,111642,640,544,0,,0,0,0,68%
2446,30113,102342,297,264,0,,0,0,0,64%
